ID,Nom,Prenom,Age,Departement,Ville,Date_Embauche,Salaire,Prime,Teletravail,Performance_Score,Projet,Remise,Client_ID,Produit,Heures_Semaine,Feedback_Score,Type_Contrat,Manager,Categorie_Travail,Bonus_Annuel,Ventes_Mois01,Ventes_Mois02,Ventes_Mois03,Ventes_Mois04,Ventes_Mois05,Ventes_Mois06,Ventes_Mois07,Ventes_Mois08,Ventes_Mois09,Ventes_Mois10,Ventes_Mois11,Ventes_Mois12,CA,Salaire_Annuel,Salaire_Total,Ratio_CA_Salaire,Anciennete,Score_Pondere,Indice_Performance_Normalise,Ratio_Age_Anciennete,Categorie_Age,Performance_Level,Top_Performers,CLV,Score_Efficacite_20,Remise_Categorie,CA_Total_Produit
4792,Smith,Andrea,25,IT,Forbesville,2010-11-10,3259,1280,Oui,96,Projet A,0.29,3721,Produit W,39,4,Freelance,Caroline Smith,Expert,4545,37669,90910,69006,86765,17551,60168,47236,49537,98118,90147,60366,58442,543799.65,39108,44933,12.1,15,1742.75,0.47,1.67,Jeune professionnel,High,True,1155500.21,6.63,Avec Remise,1292981428.48
4793,Mullins,Melissa,33,IT,Meganbury,2007-11-25,7064,1454,Oui,92,Projet A,0.04,3938,Produit W,42,5,CDI,Holly Hunter,Avancé,5974,23439,8294,75124,99389,84710,62606,46474,47229,45122,36923,43796,64722,612314.88,84768,92196,6.64,18,1099.82,0.26,1.83,Professionnel confirmé,High,True,1955743.55,4.37,Avec Remise,1292981428.48
4794,Schmidt,Kathryn,53,Marketing,Jordanport,2006-07-16,7568,3482,Non,92,Projet B,0.21,1085,Produit Y,31,5,CDD,Ashley Johnson,Expert,6883,69592,80617,52473,39128,75222,1601,33506,6235,36303,79256,18849,57263,434535.55,90816,101181,4.29,19,750.7,0.25,2.79,Expert,Medium,False,1086571.39,2.87,Avec Remise,1285481295.4
4795,Rice,Dennis,62,Ventes,Port Bryanberg,2010-06-06,3553,2717,Oui,75,Projet B,0.04,3143,Produit X,39,4,CDI,Bailey Harrison,Expert,543,50512,95865,95602,71716,64905,75363,54011,52933,48254,6267,3940,18161,612027.84,42636,45896,13.34,15,1500.2,0.36,4.13,Retraité / Consultant,High,True,612027.84,6.42,Avec Remise,1275523122.61
4796,Bryant,Richard,22,Finance,East Gabrielle,2017-11-22,9056,962,Oui,82,Projet C,0.05,2851,Produit W,32,2,CDI,Rita Vance,Standard,1430,30788,20327,70173,73049,47367,86799,67043,83304,5954,61524,44332,36051,595375.45,108672,111064,5.36,8,351.66,0.09,2.75,Jeune employé,Medium,False,595375.45,1.78,Avec Remise,1292981428.48
4797,Estes,Sherry,64,RH,Donaldhaven,2012-12-06,10868,4922,Oui,79,Projet C,0.28,4387,Produit W,38,3,CDI,David Brown,Expert,3667,5075,74289,49581,1039,38924,33393,86170,36442,76049,46344,22271,25260,356282.64,130416,139005,2.56,13,263.23,0.11,4.92,Retraité / Consultant,Medium,False,5297516.47,0.67,Avec Remise,1292981428.48
4798,Morrison,Cheryl,35,RH,Kellybury,2013-12-25,9393,715,Oui,74,Projet D,0.22,2293,Produit W,43,2,Freelance,Jennifer Reynolds,Avancé,2660,94227,27078,80530,36458,41803,98233,20276,30795,46620,89528,37964,396,471048.24,112716,116091,4.06,12,360.31,0.11,2.92,Expérimenté,Medium,False,3426809.08,1.08,Avec Remise,1292981428.48
4799,Morris,David,64,Production,Mcmahonberg,2017-07-13,7682,4637,Non,81,Projet B,0.09,4055,Produit Y,39,5,Freelance,Peter Henry,Avancé,1601,24503,55677,99855,42563,78267,14190,54039,11425,16296,30938,61304,80699,518477.96,92184,98422,5.27,8,341.36,0.1,8.0,Retraité / Consultant,Medium,False,950956.35,1.24,Avec Remise,1285481295.4
4800,Townsend,Amanda,35,Ventes,North Sara,2023-01-06,3920,1285,Non,51,Projet D,0.15,1772,Produit Z,31,3,CDD,Derek Wagner,Expert,2609,42557,70581,65033,97794,92617,31611,83554,92206,60453,99048,87989,89702,776173.25,47040,50934,15.24,2,155.44,0.03,17.5,Expérimenté,Medium,False,1120108.75,1.06,Avec Remise,1286715697.35
4801,Rodriguez,David,57,Finance,North John,2021-09-08,4614,2261,Oui,72,Projet C,0.0,3330,Produit W,41,2,CDD,Amanda Walker,Standard,5273,57178,3801,62980,72756,22358,24401,87216,14221,85012,38354,18419,57599,544295.0,55368,62902,8.65,4,249.21,0.07,14.25,Pré-retraire,Medium,False,1177086.2,0.9,Sans Remise,1292981428.48
4802,Williams,Sean,45,Production,Reginaville,2012-05-24,2401,1131,Oui,61,Projet A,0.04,2448,Produit X,34,2,CDI,Holly Hodges,Expert,5449,12547,50578,13415,9236,8678,35640,20403,64800,61588,3053,49381,86215,398912.64,28812,35392,11.27,13,893.81,0.33,3.46,Senior 2,Medium,False,1224342.11,2.86,Avec Remise,1275523122.61
4803,Smith,Frank,34,Ventes,South Alanberg,2012-12-31,2472,4049,Non,88,Projet D,0.04,1953,Produit W,39,4,CDD,Joseph Taylor,Expert,2740,48895,69700,34934,90224,72476,46622,73241,96723,73034,16347,48814,1591,645696.96,29664,36453,17.71,13,2026.38,0.46,2.62,Professionnel confirmé,High,True,3138788.04,9.15,Avec Remise,1292981428.48
4804,Butler,Lindsey,57,Marketing,South Michaeltown,2009-07-17,2431,4089,Non,92,Projet A,0.02,4534,Produit Z,42,2,Freelance,Barry Blair,Avancé,3035,68797,89549,76487,89373,1358,27120,18842,54796,70648,59716,79249,11680,634662.7,29172,36296,17.49,16,2573.9,0.59,3.56,Pré-retraire,High,True,1526455.45,10.61,Avec Remise,1286715697.35
4805,Miller,Timothy,28,Production,Oliverland,2006-09-20,11291,4788,Non,51,Projet A,0.18,2937,Produit W,40,2,CDI,Albert Shepherd,Standard,5692,98768,93632,1925,20674,94742,87401,48658,51481,11875,55780,46019,85683,571243.16,135492,145972,3.91,19,379.21,0.1,1.47,Jeune professionnel,Medium,False,2646001.9,1.48,Avec Remise,1292981428.48
4806,Collins,David,45,Finance,North Katherine,2018-03-02,4821,665,Non,87,Projet A,0.12,2985,Produit W,38,4,CDD,John Smith,Standard,5386,80222,55009,50153,16897,44250,93627,46774,48636,69230,86440,76548,56483,637356.72,57852,63903,9.97,7,607.41,0.14,6.43,Senior 2,Medium,False,1444555.04,2.78,Avec Remise,1292981428.48
4807,Burns,Trevor,44,Finance,Michealberg,2020-12-09,4635,1489,Oui,77,Projet A,0.16,2281,Produit W,32,5,CDI,Miss Rebecca Young,Standard,152,52036,73269,12089,63606,67306,65956,87946,35031,60657,79278,73319,60948,614410.44,55620,57261,10.73,5,413.1,0.1,8.8,Senior 1,Medium,False,2306879.54,2.16,Avec Remise,1292981428.48
4808,Cross,Alicia,64,Production,Dunnhaven,2008-08-17,10288,3433,Non,85,Projet C,0.07,3340,Produit Y,40,1,CDI,Jack Palmer,Avancé,4697,33806,51955,97244,65232,85866,43983,62606,66994,19205,1571,10816,38888,537694.38,123456,131586,4.09,17,590.46,0.16,3.76,Retraité / Consultant,Medium,False,2597105.94,2.16,Avec Remise,1285481295.4
4809,Stark,Olivia,39,Finance,Nicolefort,2021-12-30,10936,596,Oui,91,Projet A,0.2,2033,Produit W,33,1,CDI,Jon Campbell,Avancé,4432,93477,13774,63730,31174,75290,39079,91741,27380,76342,92250,17084,92494,571052.0,131232,136260,4.19,4,152.55,0.04,9.75,Expérimenté,Medium,False,1967736.68,0.72,Avec Remise,1292981428.48
4810,Byrd,Vanessa,56,IT,Everettbury,2011-04-05,10544,3884,Non,96,Projet A,0.24,4613,Produit W,43,3,CDD,Charles Martinez,Avancé,8154,87865,93255,79589,24122,42101,46937,91706,87975,94180,73872,76803,88443,674004.48,126528,138566,4.86,14,653.74,0.14,4.0,Pré-retraire,Medium,False,1900306.64,2.79,Avec Remise,1292981428.48
4811,Day,Holly,39,IT,New Juanchester,2025-04-05,4665,1220,Non,91,Projet A,0.29,4248,Produit Z,42,3,CDI,Karen Anderson,Standard,1891,73390,35812,54719,3131,71994,74731,66623,78840,27189,98541,62119,24012,476481.71,55980,59091,8.06,0,0.0,0.0,inf,Expérimenté,Low,False,476481.71,0.0,Avec Remise,1286715697.35
4812,Ortega,Bradley,63,Marketing,Jennifermouth,2017-05-17,5176,2075,Oui,54,Projet A,0.14,3612,Produit W,33,5,CDD,Danielle Andrade,Standard,4680,58526,69886,26940,68968,72405,2790,98686,26409,34795,14705,10131,4345,420183.96,62112,68867,6.1,8,263.58,0.09,7.88,Retraité / Consultant,Medium,False,866830.26,0.92,Avec Remise,1292981428.48
4813,Sanchez,Christopher,48,IT,Saramouth,2012-07-11,6703,2604,Non,72,Projet D,0.06,2204,Produit X,44,2,CDI,Kimberly Yoder,Avancé,7249,89677,20089,94177,91734,51923,80683,22221,43969,94354,53515,44910,43604,687004.64,80436,90289,7.61,13,712.2,0.15,3.69,Senior 2,Medium,False,1779270.84,3.03,Avec Remise,1275523122.61
4814,Matthews,Chase,50,Marketing,Scottshire,2014-08-04,9403,4874,Non,64,Projet A,0.05,2855,Produit Z,31,2,Freelance,Sherry Oconnell MD,Standard,2197,42475,26558,81166,51573,46089,4525,54553,33787,48369,37479,26328,89810,515576.4,112836,119907,4.3,11,302.71,0.09,4.55,Expert,Medium,False,1602067.82,1.37,Avec Remise,1286715697.35
4815,Lewis,Natalie,54,Marketing,Paulfurt,2021-07-01,4668,780,Oui,50,Projet D,0.06,4542,Produit Y,43,3,CDD,Maria Zimmerman,Avancé,960,48373,44287,77113,69207,38273,76594,37224,41847,5362,17830,99632,31813,552301.7,56016,57756,9.56,4,191.25,0.05,13.5,Expert,Medium,False,1784909.84,0.67,Avec Remise,1285481295.4
4816,Brown,Joseph,45,Ventes,West Rachel,2016-12-03,4452,4993,Non,61,Projet C,0.26,4304,Produit W,39,3,Freelance,Roberta Anderson,Expert,3655,8072,33141,55127,48328,65272,55277,21292,60925,74750,26683,19967,56663,388867.78,53424,62072,6.26,9,343.94,0.13,5.0,Senior 2,Medium,False,2057915.68,0.94,Avec Remise,1292981428.48
4817,Figueroa,Carol,62,RH,Gonzaleschester,2011-09-13,5728,3388,Non,58,Projet A,0.26,4349,Produit W,34,5,Freelance,Dawn Malone,Avancé,5835,66664,70211,91602,43572,88415,56356,41493,75762,25121,59222,8408,23199,481018.5,68736,77959,6.17,14,501.02,0.15,4.43,Retraité / Consultant,Medium,False,2103696.52,1.93,Avec Remise,1292981428.48
4818,Hopkins,Rebecca,25,IT,North Toni,2009-10-09,10968,3014,Non,64,Projet A,0.03,3794,Produit X,33,3,Freelance,Matthew Chapman,Avancé,5437,18417,18407,48111,54701,52394,25301,25752,20951,32121,14801,34319,59558,392688.01,131616,140067,2.8,16,287.09,0.11,1.56,Jeune professionnel,Medium,False,2392039.21,0.93,Avec Remise,1275523122.61
4819,Adams,David,61,Marketing,West Cindyhaven,2015-09-13,4109,3913,Non,69,Projet D,0.29,3806,Produit Y,37,1,CDI,Tommy Yu,Avancé,6898,80799,72980,80984,57081,57436,63638,46762,61100,53686,52097,51843,34400,506092.26,49308,60119,8.42,10,580.85,0.17,6.1,Retraité / Consultant,Medium,False,1047130.26,2.17,Avec Remise,1285481295.4
4820,Williamson,Lawrence,23,Production,Lake Jeffrey,2017-09-09,4098,1198,Non,81,Projet A,0.22,1443,Produit Y,43,3,Freelance,Randy Howard,Expert,5565,50438,3125,77196,2138,38375,50649,58929,78174,15216,67043,11071,56553,396947.46,49176,55939,7.1,8,459.83,0.17,2.88,Jeune employé,Medium,False,3655416.42,1.16,Avec Remise,1285481295.4
4821,Hicks,Joanna,24,Production,Port Elizabeth,2014-06-23,7798,2478,Non,96,Projet D,0.0,3650,Produit Z,35,4,CDI,Andrea Clark,Standard,6185,92431,24530,18487,16317,80638,74253,24517,40277,64606,85048,31249,40419,592772.0,93576,102239,5.8,11,612.26,0.15,2.18,Jeune employé,Medium,False,2795501.14,2.83,Sans Remise,1286715697.35
4822,Pollard,Rodney,63,Finance,East Deniseborough,2013-06-21,9652,4543,Oui,54,Projet D,0.1,3937,Produit Z,34,1,CDI,Mr. Keith Nelson,Expert,474,93718,39867,58003,23646,40689,15057,53644,3912,55973,40220,34579,62317,469462.5,115824,120841,3.88,12,251.75,0.08,5.25,Retraité / Consultant,Medium,False,1326718.68,0.95,Avec Remise,1286715697.35
4823,Branch,Dominique,37,Marketing,Bakerhaven,2011-06-22,8762,796,Oui,59,Projet B,0.05,1797,Produit Z,39,3,CDD,Brittany Woodard,Standard,8066,74035,65806,2728,79394,28755,51173,19328,50466,97054,55185,37912,74677,604687.35,105144,114006,5.3,14,438.11,0.11,2.64,Expérimenté,Medium,False,604687.35,1.85,Avec Remise,1286715697.35
4824,Banks,Anthony,60,RH,Lake Josephfort,2017-04-17,6632,4048,Oui,68,Projet A,0.18,1868,Produit Z,32,5,CDI,Daniel Thompson,Avancé,7515,99399,55914,12400,59424,70220,39217,5729,80609,77727,63369,94558,8403,546914.58,79584,91147,6.0,8,326.42,0.09,7.5,Retraité / Consultant,Medium,False,1557373.87,1.52,Avec Remise,1286715697.35
4825,Riley,Nathan,36,Production,Williamstown,2011-11-15,11776,2316,Oui,93,Projet D,0.02,2582,Produit Y,32,5,CDD,Luke Hernandez,Expert,5419,82616,83166,54872,58696,81881,25832,28059,68835,49283,20493,97134,62774,699368.18,141312,149047,4.69,14,610.93,0.13,2.57,Expérimenté,Medium,False,1818027.86,3.64,Avec Remise,1285481295.4
4826,Webster,Mary,32,Ventes,West Samanthabury,2007-02-13,4740,3973,Oui,63,Projet A,0.06,1250,Produit X,38,4,CDI,John Navarro,Avancé,8155,43990,42039,50853,3643,90622,20733,81510,25357,59287,85683,11503,87006,566092.44,56880,69008,8.2,18,930.25,0.24,1.78,Professionnel confirmé,High,True,1561809.12,3.78,Avec Remise,1275523122.61
4827,Martin,Adam,43,IT,Scottville,2014-09-16,3337,3266,Non,60,Projet C,0.24,2357,Produit Y,38,5,CDD,Wayne Park,Avancé,8101,43044,16298,73683,86869,30195,81302,18064,17818,8673,62182,44266,65365,416296.84,40044,51411,8.1,11,534.43,0.19,3.91,Senior 1,Medium,False,3319634.15,1.6,Avec Remise,1285481295.4
4828,Adams,Eduardo,46,Finance,North Jamesfort,2008-02-29,5753,4648,Oui,92,Projet D,0.17,3344,Produit W,30,5,Freelance,Jonathan Ingram,Expert,1007,14261,59523,90578,12804,77602,30030,43997,86439,9808,17332,29921,24492,412333.21,69036,74691,5.52,17,863.41,0.3,2.71,Senior 2,Medium,False,2127671.89,3.24,Avec Remise,1292981428.48
4829,Mcintosh,Scott,63,Ventes,New Michael,2014-02-25,3767,541,Non,66,Projet A,0.29,1215,Produit X,42,4,CDD,Steven Wilkins,Avancé,6100,95664,56154,46551,68628,94578,84642,12370,81614,99493,33185,71479,72742,580141.0,45204,51845,11.19,11,812.39,0.2,5.73,Retraité / Consultant,Medium,False,2086193.8,3.06,Avec Remise,1275523122.61
4830,Mcintyre,Tanya,43,RH,West Ronaldshire,2014-06-28,9133,3448,Non,60,Projet B,0.24,2011,Produit Z,40,5,Freelance,Michael Perry,Avancé,586,91954,19114,72528,34501,40078,9866,15972,82684,96478,19167,23497,93814,455736.28,109596,113630,4.01,11,264.71,0.08,3.91,Senior 1,Medium,False,455736.28,0.82,Avec Remise,1286715697.35
4831,Bridges,Ricky,41,Finance,Delgadochester,2022-06-25,10032,2892,Non,74,Projet B,0.1,3947,Produit W,44,5,CDD,Michele Jones MD,Expert,8120,6500,957,72634,15361,73152,59169,28633,15992,447,95296,82408,25658,428586.3,120384,131396,3.26,3,72.41,0.02,13.67,Senior 1,Medium,False,1709471.4,0.19,Avec Remise,1292981428.48
4832,Cummings,Keith,41,Marketing,Hessville,2014-06-03,7279,4467,Oui,98,Projet A,0.29,1515,Produit W,32,2,Freelance,Amanda King,Standard,5360,30131,61825,52302,34252,72052,95406,11520,98243,63817,29246,14299,17848,412468.11,87348,97175,4.24,11,457.57,0.16,3.73,Senior 1,Medium,False,1308043.61,1.61,Avec Remise,1292981428.48
4833,Allen,Misty,22,Production,Acevedohaven,2010-04-13,6891,4331,Non,63,Projet D,0.03,2359,Produit Y,30,3,CDD,Janice Combs,Standard,6021,63311,11456,35384,59817,81756,99974,85014,5578,79310,34432,47654,80546,663705.04,82692,93044,7.13,15,674.09,0.15,1.47,Jeune employé,Medium,False,2281887.89,4.07,Avec Remise,1285481295.4
4834,Whitaker,Stephanie,49,Production,Masseyborough,2012-04-17,6200,4580,Oui,67,Projet C,0.18,1152,Produit X,36,1,Freelance,Renee Anderson,Avancé,2030,82258,95854,18709,84155,36902,74471,62480,4396,23059,77685,57110,99708,587765.34,74400,81010,7.26,13,631.95,0.16,3.77,Senior 2,Medium,False,1531078.02,2.81,Avec Remise,1275523122.61
4835,Richmond,Jose,45,Production,Nicholasbury,2010-03-11,10394,1342,Non,90,Projet A,0.23,4703,Produit Z,30,1,Freelance,Kristen Crawford,Standard,3344,60948,73339,88920,97961,5919,50284,12480,98080,97118,97487,38713,53688,596701.49,124728,129414,4.61,15,622.46,0.15,3.0,Senior 2,Medium,False,1414711.19,3.38,Avec Remise,1286715697.35
4836,Baldwin,Pamela,31,Marketing,Williamshaven,2020-10-05,3488,1640,Oui,98,Projet B,0.22,1320,Produit Z,44,3,CDD,William Stark,Standard,8872,21086,33249,8242,30118,35680,9578,65,54107,40916,51106,71444,79414,339303.9,41856,52368,6.48,5,317.48,0.14,6.2,Professionnel confirmé,Medium,False,1182856.18,0.67,Avec Remise,1286715697.35
4837,Davis,Andrea,60,Production,Joeside,2009-10-09,9887,1493,Non,86,Projet B,0.05,1774,Produit Z,37,1,CDI,Bethany French,Avancé,4908,3943,49087,11706,42306,98610,26570,51509,21221,4417,53952,55347,19737,416484.75,118644,125045,3.33,16,458.3,0.16,3.75,Retraité / Consultant,Medium,False,866214.03,1.41,Avec Remise,1286715697.35
4838,Boyle,Joseph,60,Production,North Kevin,2019-12-13,8966,2582,Non,83,Projet B,0.09,3611,Produit X,30,3,CDD,Michael Allen,Expert,9158,35529,54580,15315,74100,46368,48214,90944,22102,9492,95866,5949,22632,474192.81,107592,119332,3.97,6,197.89,0.06,10.0,Retraité / Consultant,Medium,False,908815.53,0.85,Avec Remise,1275523122.61
4839,Montgomery,Curtis,40,IT,East Cynthiaburgh,2014-12-29,6375,3760,Non,51,Projet B,0.29,4005,Produit Z,44,3,Freelance,Sally Reed,Standard,181,19276,83213,92449,92942,60216,354,76484,12552,88912,46356,46797,20784,454637.85,76500,80441,5.65,11,317.07,0.1,3.64,Senior 1,Medium,False,973956.85,0.89,Avec Remise,1286715697.35
4840,Perkins,Anna,33,Finance,South Connietown,2006-09-25,2453,1467,Non,64,Projet A,0.08,3042,Produit Y,35,5,Freelance,Mrs. Kristen Lane,Standard,1832,39025,40272,77233,37334,56249,39090,84851,2393,30951,39391,19985,42172,468230.32,29436,32735,14.3,19,1739.33,0.54,1.74,Professionnel confirmé,High,True,1970061.7,6.35,Avec Remise,1285481295.4
4841,Mathis,David,62,IT,Margaretville,2017-08-24,6722,1999,Oui,91,Projet C,0.21,2621,Produit W,41,4,Freelance,Mary Pearson,Expert,611,90171,12545,78341,58771,70052,73307,50076,46312,28918,48399,24411,9585,466801.52,80664,83274,5.61,8,408.09,0.13,7.75,Retraité / Consultant,Medium,False,1843776.48,1.27,Avec Remise,1292981428.48
4842,Jacobson,Adriana,27,Finance,Duranburgh,2007-07-29,11757,3086,Oui,59,Projet B,0.2,1510,Produit W,39,3,Freelance,Robert Baker,Standard,9717,58939,86269,39133,20426,8632,70249,92535,46402,12873,44511,32817,8289,416860.0,141084,153887,2.71,18,287.68,0.1,1.5,Jeune professionnel,Medium,False,2521683.62,0.84,Avec Remise,1292981428.48
4843,Nash,Laura,52,RH,Josephshire,2017-12-21,2408,1361,Oui,70,Projet B,0.17,4444,Produit W,33,1,CDI,Felicia Williams,Standard,1724,87909,26520,97303,64131,13092,17798,29494,18675,30816,21455,43111,92777,450757.23,28896,31981,14.09,8,789.29,0.25,6.5,Expert,Medium,False,1465782.27,2.94,Avec Remise,1292981428.48
4844,Terry,Gary,36,Production,Taylorberg,2010-10-03,5883,3273,Non,95,Projet B,0.13,4109,Produit X,31,3,Freelance,Andrea Castillo,Avancé,8606,22688,37132,44101,28464,85481,61864,65549,24960,23578,76319,34933,49771,482710.8,70596,82475,5.85,15,834.03,0.25,2.4,Expérimenté,Medium,False,905430.63,3.54,Avec Remise,1275523122.61
4845,Hoffman,Ashley,39,Marketing,Daniellestad,2020-01-01,6394,4878,Oui,94,Projet C,0.28,2381,Produit X,41,5,Freelance,Cathy Johnson,Avancé,8883,1554,67893,68687,30720,84798,96241,42586,27972,39741,39261,37975,65928,434416.32,76728,90489,4.8,5,225.64,0.08,7.8,Expérimenté,Medium,False,434416.32,0.65,Avec Remise,1275523122.61
4846,Smith,Austin,39,Marketing,Kimberlystad,2024-07-20,6683,3067,Oui,90,Projet C,0.0,4777,Produit Y,38,4,Freelance,Vanessa Wilson,Standard,4019,56425,77755,88649,74683,29983,95589,20289,17331,52960,93698,67825,1355,676542.0,80196,87282,7.75,1,69.76,0.02,39.0,Expérimenté,Medium,False,2034921.65,0.34,Sans Remise,1285481295.4
4847,Schultz,Debra,33,IT,South Ryan,2019-05-09,3579,1846,Oui,80,Projet B,0.06,4620,Produit X,36,4,Freelance,Jessica Velasquez,Standard,7568,60532,98166,69016,10529,51505,4161,6781,13624,19666,21070,52067,80387,458253.76,42948,52362,8.75,6,420.08,0.13,5.5,Professionnel confirmé,Medium,False,3184946.99,1.46,Avec Remise,1275523122.61
4848,Becker,Melissa,44,Production,Lake William,2011-05-01,9594,3074,Non,96,Projet A,0.26,3423,Produit W,30,2,CDI,Joe Roberson,Expert,8178,5623,21751,11253,74545,91246,63829,16364,95507,9909,90379,96917,38949,456041.28,115128,126380,3.61,14,484.98,0.15,3.14,Senior 1,Medium,False,2543040.65,2.01,Avec Remise,1292981428.48
4849,Pierce,Richard,59,IT,Millershire,2014-02-07,9361,4901,Oui,95,Projet D,0.2,1749,Produit W,37,3,Freelance,William Moore,Standard,4249,31998,26653,7644,3413,51647,71255,62962,33690,58917,24933,75783,47462,397085.6,112332,121482,3.27,11,341.58,0.13,5.36,Pré-retraire,Medium,False,2292680.62,1.0,Avec Remise,1292981428.48
4850,Campbell,Virginia,56,Finance,Davisville,2015-12-26,4706,4699,Oui,60,Projet D,0.27,1563,Produit Y,30,3,Freelance,Adrian Villegas,Expert,4813,9062,98693,45897,58403,81162,14365,90494,20355,95536,28219,68178,46191,479285.15,56472,65984,7.26,10,435.82,0.13,5.6,Pré-retraire,Medium,False,965243.15,1.9,Avec Remise,1285481295.4
4851,Simon,Randall,50,Production,Newtonport,2008-01-27,7082,2508,Oui,73,Projet C,0.0,3372,Produit Z,32,4,Freelance,Victoria Andrews,Standard,2984,36794,29443,43436,17486,57684,345,70658,44200,77250,6520,75187,25269,484272.0,84984,90476,5.35,17,664.24,0.2,2.94,Expert,Medium,False,2160288.96,2.74,Sans Remise,1286715697.35
4852,Maddox,Kimberly,50,Finance,Barreraville,2012-08-13,4219,4718,Oui,53,Projet C,0.01,3962,Produit X,41,1,CDI,Matthew Gonzalez,Expert,3207,18354,15693,73107,42767,65635,88698,28265,17544,61794,59905,45526,65014,576478.98,50628,58553,9.85,13,678.35,0.17,3.85,Expert,Medium,False,576478.98,2.6,Avec Remise,1275523122.61
4853,Phillips,Anthony,39,Marketing,New Jasonport,2013-05-25,11713,1801,Oui,98,Projet A,0.28,4684,Produit X,36,2,CDI,Cynthia Howell,Standard,7724,15610,36163,65984,17585,37093,92887,88437,41472,96607,63845,42842,64293,477228.96,140556,150081,3.18,12,373.95,0.11,3.25,Expérimenté,Medium,False,2977581.39,1.35,Avec Remise,1275523122.61
4854,Brown,James,40,Production,South Patriciamouth,2018-10-07,7708,2216,Oui,84,Projet C,0.14,2138,Produit Y,33,3,CDD,James Gutierrez,Avancé,1508,29205,68163,90710,25110,5630,97080,30893,16429,15290,93190,15381,47068,459368.14,92496,96220,4.77,7,280.72,0.09,5.71,Senior 1,Medium,False,2972596.92,1.07,Avec Remise,1285481295.4
4855,Richardson,Valerie,64,Production,Daniellemouth,2011-10-28,2827,3015,Non,57,Projet D,0.17,1482,Produit X,30,5,CDI,Amanda Delgado,Expert,1629,68624,80949,47588,17080,61478,36454,18689,24297,53140,95290,16657,36059,461733.15,33924,38568,11.97,14,955.36,0.3,4.57,Retraité / Consultant,High,True,1057641.15,4.01,Avec Remise,1275523122.61
4856,Fisher,Ruth,61,IT,East Jasmine,2009-03-12,3212,2665,Oui,87,Projet D,0.29,2190,Produit Y,31,5,Freelance,Sabrina Marquez,Expert,5496,75184,9822,4427,3553,16139,64651,5311,42530,81913,84675,56557,72973,367591.85,38544,46705,7.87,16,1095.57,0.43,3.81,Retraité / Consultant,High,True,3244686.22,3.54,Avec Remise,1285481295.4
4857,Freeman,Janet,35,Finance,Lake Gregory,2008-02-18,9320,4031,Non,55,Projet A,0.23,4728,Produit Y,35,2,CDD,Emily Nguyen,Avancé,6230,63547,28709,20959,97052,73495,46238,66840,12433,61982,68941,84693,69910,534995.23,111840,122101,4.38,17,409.68,0.11,2.06,Expérimenté,Medium,False,1538099.86,1.71,Avec Remise,1285481295.4
4858,Evans,Scott,58,Ventes,West Nicoleborough,2022-01-13,4026,2391,Non,73,Projet C,0.25,1044,Produit X,39,1,CDD,Javier Scott,Expert,1842,97841,78250,46325,62716,93121,82961,61517,11626,28264,66484,73411,53568,567063.0,48312,52545,10.79,3,236.34,0.06,19.33,Pré-retraire,Medium,False,968289.68,0.94,Avec Remise,1275523122.61
4859,Stevens,Joy,41,Marketing,West Annetteburgh,2010-06-24,5312,1550,Oui,51,Projet A,0.07,2866,Produit W,39,4,CDI,Tammy Norris,Avancé,2304,5637,96489,96401,69499,37500,41540,21484,30431,21721,1663,81406,64196,528209.31,63744,67598,7.81,15,597.77,0.16,2.73,Senior 1,Medium,False,2219987.58,2.21,Avec Remise,1292981428.48
4860,Hunt,Matthew,22,IT,Lake Paul,2017-05-06,7254,4385,Non,77,Projet A,0.24,1635,Produit X,40,2,CDD,Heather Good,Standard,6656,55016,18830,12848,93438,1826,1654,5513,34350,32211,85681,86142,49749,362716.08,87048,98089,3.7,8,227.79,0.09,2.75,Jeune employé,Medium,False,993322.08,0.56,Avec Remise,1275523122.61
4861,Craig,Heather,46,Marketing,Smithfurt,2012-06-04,7114,3838,Oui,63,Projet D,0.24,3444,Produit W,42,5,Freelance,Paul Robbins,Expert,6767,98522,72349,99962,77019,99556,70381,24617,53339,29372,92193,44119,27064,599254.68,85368,95973,6.24,13,511.38,0.12,3.54,Senior 2,Medium,False,1599779.52,1.99,Avec Remise,1292981428.48
4862,Santos,Jasmine,64,Production,Leechester,2008-04-08,2933,2795,Oui,92,Projet D,0.1,4624,Produit Y,44,3,Freelance,Calvin Stephenson,Standard,497,71120,8490,91283,25700,28634,1184,3163,92405,8576,74451,62698,96679,507944.7,35196,38488,13.2,17,2064.09,0.59,3.76,Retraité / Consultant,High,True,999554.98,6.5,Avec Remise,1285481295.4
4863,Lee,Kevin,49,Marketing,Obrienmouth,2020-04-21,4625,3985,Non,84,Projet C,0.27,3316,Produit W,44,1,CDI,Frank Barber,Avancé,715,50486,51597,52206,85904,64592,445,45302,83096,43355,94402,76859,32180,496709.52,55500,60200,8.25,5,346.54,0.1,9.8,Senior 2,Medium,False,1018194.72,1.07,Avec Remise,1292981428.48
